"HMDB.ID","Compound.Name","CSM5FZ3N","CSM5FZ3T","CSM5FZ48","CSM5FZ4A","CSM5FZ4O","CSM5MCTZ","CSM5MCU4","CSM5MCVH","CSM5MCWK","CSM5MCXB","CSM5MCXF","CSM5MCYU","CSM67U9T","CSM67U9V","CSM67U9X","CSM67UH7","CSM79HG4","CSM79HJE","CSM79HJG","CSM79HJI","CSM79HQL","CSM79HQN","CSM79HQR","CSM7KOQ7","ESM5MEB9","ESM5MEDZ","ESM5MEEG","HSM5FZBJ","HSM5MD3L","HSM5MD4S","HSM5MD5Z","HSM5MD7Z","HSM5MD82","HSM5MD86","HSM5MD87","HSM5MD8A","HSM5MD8H","HSM67VDR","HSM67VDX","HSM6XRQB","HSM6XRQC","HSM6XRQE","HSM7J4JT","HSM7J4JV","HSM7J4JW","HSM7J4LP","HSMA33NW","HSMA33NY","MSM5LLDI","MSM5LLEH","MSM5LLFG","MSM5LLIC","MSM5LLIS","MSM6J2H9","MSM6J2JF","MSM6J2JH","MSM6J2NA","MSM6J2PO","MSM6J2Q1","MSM79H8D","MSM79H94","MSM79HD6","MSM9VZFJ","MSM9VZM4","MSM9VZMM","PSM6XBQM","PSM6XBRK","PSM6XBSE","PSM7J188","PSMA265X"
"HMDB01859","acetaminophen",68318,952640,178177,158882,359948,61867,421654,158935,4245957,143748,270412,2384402,195105,290060,189769,149820,56655,322119,140081,101452,1596912,728418,257023,1144271,111831,2707475,62587,2722773,95886,99616,115359,918700,116479,634788,124847,588913,110957,145767,441402,1367967,9950237,81815,266359,111143,109276,428051,80467,72248,163812,82128,190033,143468,133374,185652,92853,123047,78722,244816,202903,117423,50886,7109346,160981,107633,3331228,129112,266648,151394,600209,244727
"HMDB00212","acetyl-galactosamine",8176,NA,10685,4318,1002,2079,4909,6444,8938,20279,2254,8924,1537,6247,9994,28434,2301,5031,1058,13931,6690,1209,7774,2308,1998,14553,4907,23720,30647,18161,6254,1566,19961,27905,9143,2154,4963,NA,3632,9958,29703,13890,17813,5618,19131,15637,8291,9358,35089,14923,6034,19142,12921,14065,15173,5901,3593,26227,9456,8786,4882,1271,6188,217,15029,9585,6836,18214,662,8472
"HMDB01432","agmatine",7829458,46269932,1765030,136708950,34988342,79462875,18483103,19343593,49814853,10577968,24063676,4878125,97516857,3428850,89935510,19232714,109149412,89152185,123244614,2205644905,12594437,45151199,1436388930,7474543,13778536,88424834,24229845,165223084,NA,4449018,114802663,102784914,13469095,96711676,16687894,7171606,4142297,18738809,NA,23945533,59555187,1327034,37145427,18382154,34144658,34905743,41709681,42556732,NA,2478728032,NA,15786571,96584493,35227139,17903134,26182266,23608487,16558620,46171007,32801835,85535634,71875320,8440424,59600744,76830373,122034482,37665994,170170600,8559968,17360116
"HMDB00557","alloisoleucine",335603,721402,118673,1465270,3749883,554708,132139,143507,107326,92232,181301,122406,103183,3507220,102540,398071,32278048,1201258,224423449,236994,158082,144684,161876,193473,45944,50737,182089,1672368,556248,153748,121786,120470,43676490,422013,365271,5427768,79462,27806,53791,501115,125242,184034,291351,75658,163264,996718,145061,215916,274763,362306,69290,306636,125465,129185,173721,114161,200174,271120,122017,157264,68755962,105171,27833,166625,120925,67340,195411,141769,286088,121921
"HMDB01924","atenolol",97474,1151570,152312,302863,788638028,118218,6890017,6424508,308377,893007,763216,586627,617246,88331,12417338,256469,114358,928050,64443,78051,201535,124607,38688709,68838,236349,67417856,8382837,1916050,379902,667038,4474737,127985,91628,73424,68723,184636,203042,3872527,11348,767280,4827037,62975,1020820,47373,343978,7961,1938466,198412,11574,166286,41027,245552,1497074,91303524,83931,201166,96549,348904,264758,125637,20419,124640,37023,23791990,50123,42008418,676551,24868131,99483,759517
"HMDB13222","beta-guanidinopropionic acid",519592,NA,3792469,851407,2235647,622047,871603,503269,NA,NA,2844954,NA,1615591,NA,816695,NA,2376245,900429,2766162,NA,2268093,182588,NA,3486465,NA,445789,10802518,NA,974045,241196,2303569,4216817,2618833,434250,978092,NA,3347166,3206014,NA,NA,444705,NA,145819,1533658,307701,1026045,3821489,207838,NA,612919,5209527,430869,6456731,335909,1197401,5360282,NA,NA,4341412,1241825,397644,1634903,3668206,2124794,2821754,NA,NA,2342986,4931742,1011624
"HMDB01008","biliverdin",547642,1006733,23491,2681981,373359,212770,4717492,1123007,654507,4723084,848948,398631,52034,96510,1868027,2293482,14701437,2423870,1392658,10042960,2101177,2568,1897236,440358,232426,2986023,1037815,6913228,79416,1593239,1178518,156030,39963,24830119,10178,983668,259370,312497,2142024,1344178,2203588,8847887,21458,2985150,82895,18518329,3082557,611444,7421209,12803997,2723802,286100,1820192,2128242,736318,184109,75377,5118,545002,2105284,3091020,636702,1927362,933151,2983143,281324,2160961,12223489,25428,227466
"HMDB00030","biotin",89255698,NA,73110239,27310233,78863677,47362706,26958731,37221687,27214462,16677755,NA,37818895,16885644,70473642,20147009,76859435,61089987,11284710,74380134,NA,47456221,NA,630031581,41872281,5775562,103388308,100189403,14126755,61342305,46272260,29152710,65529976,78512554,NA,43814672,25733118,31354672,9908364,50291289,38443885,2592463,25829780,NA,9678102,39245696,NA,50138600,41588363,71503698,NA,50668860,32892189,8236883,NA,90371191,31692644,45869881,38573604,11192993,11322020,64974533,40923185,36942079,38590519,44124410,42284030,52641602,NA,99529341,NA
"HMDB02322","cadaverine",38332359,150485585,53484385,19500804,799763162,25834274,3386905,412767832,13605911,86298691,9016839,350249922,304551523,55018351,76502976,50541880,1370911261,1287849154,22761211,1179815483,118042664,8198213,88955756,28795944,249639794,33403291,1758839219,1565109254,74899485,139261467,30804055,172478451,133525821,596077187,27039714,521224111,21936909,263627236,29603818,385484416,574604939,125748315,12065130,10824985,465353895,26477844,1278606529,598298373,1346025024,234073836,45225587,536943932,54169930,228226219,43230343,20087746,4588900,15332864,14896918,174079968,245881595,2882162,NA,135799604,2510359,843853069,1343070440,329903902,55252029,20524818
"HMDB01847","caffeine",2664877,358505,801733,1676143,2440066,142251,6288405,31010,571042,568390,1527985,2569634,1745243,154531,792482,134926,760164,653529,575447,118554,2493894,749180,89377,1021023,26163,122474,382547,71986,119871,84589,411855,561853,109267,45005,502166,3376752,162717,325494,65281,239895,75411,218258,603562,740403,97217,406495,672607,1129041,1562840,407356,429864,202265,371506,2677901,1591507,106411,79032,712349,3914856,2074231,339506,12463740,957516,123276,2759743,118334,79365,701505,1047216,678847
"HMDB00063","cortisol",18707,2646,40802,24077,21589,5121,43662,73189,96215,7934,8467,85654,62575,20022,101762,32157,95636,14343,89701,66489,135664,NA,50087,24580,119329,103107,739,144387,109339,8428,171243,39791,51585,17254,31278,35224,66573,42209,11906,917,118721,46696,50882,85783,46590,89485,67038,52623,13886,9617,47384,69034,104946,153770,23609,67767,39737,19312,63915,34846,20138,6447,47159,10131,53113,72031,67813,49094,63985,43645
"HMDB03459","alanylalanine",16637922,233188663,74974175,43207337,18409633,163697422,38273248,90636141,31111240,81234576,67500129,47974788,25694271,42325678,95179440,49340091,15351496,43570918,38383811,81547016,27099445,62504089,43635365,23887248,65446986,18963276,22096290,127618905,44535187,45709501,67488555,24814164,45310393,109479573,53646908,12702922,28031442,23963577,4053261,23530546,192361802,22763138,47220339,47248382,47874287,120428700,32585102,58185976,54299333,72545268,10824270,38703217,45670575,122912309,20424388,25685898,18974135,7621403,57569029,48463024,20682906,48567119,14163434,52524267,29196024,48891297,33331392,80945178,514542642,47045532
"HMDB41876","diacetylspermine",5137759,7961947,2661170,2045251,154450,10984586,4085323,16648738,1251200,71116,11838322,10817138,3628994,60709,3683093,203723,11674645,2996651,1178762,8387588,159589,36980104,6665746,2324216,1226683,60944959,29825169,21278950,1316169,1986680,6528281,6026447,1389911,44075255,54647754,121307,1411298,16274151,17592,97573977,10386032,1032684,7918730,3800826,2908655,12658061,3383643,7974446,1211652,633192,15354,1799130,4566324,41391892,120882,628352,65878,2937427,1882404,4103589,4637712,19166577,41865,40225914,1531426,20394178,13695551,10605107,669993,16604290
"HMDB05015","gabapentin",12210,39871,10287,40657,6919,51841,16089,16047,40900,16100,16915,11728,13561,17718,26818,15245,43448,19212,25530,19974,25806,5299,22567,8233,4261,11819,11065,25970,20439,10354,23983,22504,14594,79802,11915,9031,8533,1512,2192,11426,10519,11223,30448,8365,13875,135987,15669,14172,20314,35321,7378,26131,5363,20435,17345,10458,3337,12850,21018,28599,1476,22365,3154,23817,34489,16180,14304,17168,18737,15020
"HMDB00128","guanidoacetic acid",NA,4017071,NA,1030209,NA,287055,1814161,40430722,NA,1429716,2257953,390926,NA,NA,9645721,353919,NA,NA,NA,3580911,NA,659586,13221698,NA,NA,8783143,NA,18199371,2215853,527923,NA,NA,266133,6730789,NA,NA,NA,NA,NA,NA,6908265,14523566,12630168,1338633,NA,9564274,NA,13821975,NA,11059814,14641264,743538,6566713,40980563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23965725,NA,1754836
"HMDB03431","histidinol",1801869,15607496,3851401,1925120,1522058,7343047,593507,17737612,2223839,62915925,29090490,3701784,1712657,1505598,6835583,1777355,2012726,3359160,1611473,7075063,1507483,1075611,16807327,NA,6275411,31721363,4588018,2309079,7048696,302533,2544605,5313352,1460621,15669308,2892656,1005188,350007,9857715,NA,3152054,4445328,831402,3247039,3420163,3173574,6303787,3814679,5010767,1971149,721552,NA,2082067,24131257,9812745,2333824,2424801,NA,5804994,7225113,24160341,1271082,3542017,NA,3588290,2082476,3449558,1432801,210712140,19762123,2943516
"HMDB00670","homoarginine",3828846,148305548,20469232,28482792,7397614,134237547,4040534,14783170,16807651,7940395,19387491,7193418,9711955,17200242,25716150,8322312,18470104,14322679,14800639,34408641,10597327,35216607,50738704,3035564,10212025,73842998,11218736,48673903,5697739,34958760,19654381,17488060,31288344,54442612,49441776,4166164,7288499,6356889,950559,50168586,18569882,17038680,77871988,25407733,11380416,94401866,10401594,14852186,52250177,18796863,1578425,38110635,49462430,39815042,15838007,21897046,20888399,47143132,54327241,15650876,12256337,67034851,4271567,8785080,33024250,35208816,26372158,173601402,5862121,41881211
"HMDB00679","homocitrulline",98194,58264,143515,34734,59313,3785,13291,92305,NA,NA,35582,78609,20530,9307,29963,684883,110252,21011,95192,NA,18160,NA,NA,114806,15577,NA,90229,NA,113265,68184,35899,143993,97467,NA,180095,5805,16724,21459,NA,86268,1092,11171,97255,10576,11413,3632,389,81299,157528,NA,66792,126067,9758,79965,229388,1866,23625,91645,16953,21984,45990,83352,11285,13357,14792,73443,728312,33703,7,23802
"HMDB01390","hydroxycotinine",5035,274,1074,7344,3613,NA,8797,NA,3911,2605,2682,7326,2229,5747,4566,1411,4457,6356,4694,NA,1086,947,2943,1110,3109,NA,6270,NA,3614,1939,2367,44835,15821,NA,NA,25035,2918,158570,4577,18531,12069,6599,5774,52168,2906,NA,7362,15621,330,19028,3218,4263,4211,142960,12176,3079,1849,13334,554365,3519,7541,3618,4026,3005,4425,2858,15004,1891,11735,521
"HMDB02271","imidazole propionate",328544,46781525,7068268,450018,1631537,12869646,898709,10524510,267649,20206179,19612511,262146,511295,246135,5527272,3598598,8019981,451146,1074483,249330,1215490,1524711,5569930,2556828,4296555,12305444,34285668,7210414,5946554,251019,18144033,605139,9543239,329754,1122857,5059171,1213953,290719,175819,168908,7768057,5761342,911999,2547942,4583754,82570,4610714,1969614,2301780,5375816,641720,852329,6413596,8244870,1501642,3203274,2014674,5896419,544681,1542024,539332,288449,907692,1204909,10046676,545071,1847844,5595467,811285,9171665
